<TICKER>,<PER>,<DATE>,<TIME>,<HIGH>,<LOW>,<CLOSE>,<VOL>
USDRUB_TOM,D,20151127,000000,66.489,65.93,66.48,3111964000
USDRUB_TOM,D,20151130,000000,66.915,65.755,66.49,4171349000
USDRUB_TOM,D,20151201,000000,66.9,66.055,66.61,3338962000
USDRUB_TOM,D,20151202,000000,67.5,66.519,67.5,4718550000
USDRUB_TOM,D,20151203,000000,68.183,67.367,67.508,4361075000
USDRUB_TOM,D,20151204,000000,68.325,67.229,68.135,4712998000
USDRUB_TOM,D,20151207,000000,69.5,68.365,69.499,4602373000
USDRUB_TOM,D,20151208,000000,69.933,69.033,69.4,5742224000
USDRUB_TOM,D,20151209,000000,69.657,68.714,69.368,4850663000
USDRUB_TOM,D,20151210,000000,69.383,68.555,69.15,4011230000
USDRUB_TOM,D,20151211,000000,70.5,69.066,70.362,4786562000
USDRUB_TOM,D,20151214,000000,71.225,70.05,70.555,5829317000
USDRUB_TOM,D,20151215,000000,71.054,69.634,69.941,5666593000
USDRUB_TOM,D,20151216,000000,70.62,69.805,70.396,4647101000
USDRUB_TOM,D,20151217,000000,71.183,70.292,71.183,5244625000
USDRUB_TOM,D,20151218,000000,71.473,70.521,70.948,5808241000
USDRUB_TOM,D,20151221,000000,71.414,71.015,71.233,3240374000
USDRUB_TOM,D,20151222,000000,71.31,70.963,71.233,2631326000
USDRUB_TOM,D,20151223,000000,71.161,69.631,69.8,4537493000
USDRUB_TOM,D,20151224,000000,70.839,69.155,70.24,4732397000
USDRUB_TOM,D,20151225,000000,70.8,70.007,70.689,1573131000
USDRUB_TOM,D,20151228,000000,72.467,70.36,72.225,4469132000
USDRUB_TOM,D,20151229,000000,72.85,71.8,72.205,4720063000
USDRUB_TOM,D,20151230,000000,73.63,72.46,73.59,4059476000
USDRUB_TOM,D,20160104,000000,73.72,72.615,73.16,1557004000
USDRUB_TOM,D,20160105,000000,73.55,72.823,73.316,969004000
USDRUB_TOM,D,20160106,000000,75.1,73.264,74.76,1984001000
USDRUB_TOM,D,20160111,000000,76.493,75.06,76.211,4952591000
USDRUB_TOM,D,20160112,000000,77.244,75.901,77.065,5640143000
USDRUB_TOM,D,20160113,000000,76.897,75.74,76.677,5851838000
USDRUB_TOM,D,20160114,000000,77,76.051,76.051,4128287000
USDRUB_TOM,D,20160115,000000,77.95,76.419,77.603,5352475000
USDRUB_TOM,D,20160118,000000,79.43,78.048,79.29,4759569000
USDRUB_TOM,D,20160119,000000,78.958,78.063,78.561,6423590000
USDRUB_TOM,D,20160120,000000,82.469,79.17,81.4,7450523000
USDRUB_TOM,D,20160121,000000,85.999,81.75,82.63,9738456000
USDRUB_TOM,D,20160122,000000,82.094,77.901,78.024,8178530000
USDRUB_TOM,D,20160125,000000,80.169,76.392,80.04,7797553000
USDRUB_TOM,D,20160126,000000,82.3,77.7,78.3,9073133000
USDRUB_TOM,D,20160127,000000,79.475,76.94,77.667,5952318000
USDRUB_TOM,D,20160128,000000,78.036,75.473,76.397,7783734000
USDRUB_TOM,D,20160129,000000,76.685,74.572,75.43,6958021000
USDRUB_TOM,D,20160201,000000,77.455,75.454,77.31,5254018000
USDRUB_TOM,D,20160202,000000,79.847,77.714,79.755,6857496000
USDRUB_TOM,D,20160203,000000,79.9,76.661,76.904,6935639000
USDRUB_TOM,D,20160204,000000,77.308,75.544,76.969,6996020000
USDRUB_TOM,D,20160205,000000,77.766,76.34,77.47,5387485000
USDRUB_TOM,D,20160208,000000,79.079,76.382,78.544,5402194000
USDRUB_TOM,D,20160209,000000,79.963,78.07,79.701,6710622000
USDRUB_TOM,D,20160210,000000,80.035,77.62,78.606,5169165000
USDRUB_TOM,D,20160211,000000,80.64,78.683,79.592,7360631000
USDRUB_TOM,D,20160212,000000,79.785,78.121,78.34,4936523000
USDRUB_TOM,D,20160215,000000,78.014,76.9,76.95,3767100000
USDRUB_TOM,D,20160216,000000,78.155,75.901,77.899,6250151000
USDRUB_TOM,D,20160217,000000,78.326,74.631,75.032,5720572000
USDRUB_TOM,D,20160218,000000,76.5,74.867,76.5,5308006000
USDRUB_TOM,D,20160219,000000,77.9,76.02,76.986,4561781000
USDRUB_TOM,D,20160220,000000,77.282,76.515,77.05,639209000
USDRUB_TOM,D,20160222,000000,76.692,74.951,75.3,1660348000
USDRUB_TOM,D,20160224,000000,77.58,75.69,75.711,5850383000
USDRUB_TOM,D,20160225,000000,76.687,75.18,75.385,4672515000
USDRUB_TOM,D,20160226,000000,76.421,74.476,76.2,6929762000
USDRUB_TOM,D,20160229,000000,76.296,74.858,75.2,3642055000
USDRUB_TOM,D,20160301,000000,74.804,73.167,73.392,5412415000
USDRUB_TOM,D,20160302,000000,74.26,73.01,73.07,4075572000
USDRUB_TOM,D,20160303,000000,74.1,72.88,73.171,4022850000
USDRUB_TOM,D,20160304,000000,73.445,71.75,71.97,3991477000
USDRUB_TOM,D,20160307,000000,72.26,71.12,71.471,1806341000
USDRUB_TOM,D,20160309,000000,72.667,70.75,71.141,4310017000
USDRUB_TOM,D,20160310,000000,71.897,69.945,71.455,5892534000
USDRUB_TOM,D,20160311,000000,71.034,69.435,69.883,4761457000
USDRUB_TOM,D,20160314,000000,70.977,69.681,69.96,4318944000
USDRUB_TOM,D,20160315,000000,71.399,70.086,71.04,5660278000
USDRUB_TOM,D,20160316,000000,71.44,69.123,69.123,5364493000
USDRUB_TOM,D,20160317,000000,69.324,67.906,68.1,5675035000
USDRUB_TOM,D,20160318,000000,68.729,67.262,68.389,5087832000
USDRUB_TOM,D,20160321,000000,69.15,67.481,67.822,4031627000
USDRUB_TOM,D,20160322,000000,68.266,67.2,67.5,4836136000
USDRUB_TOM,D,20160323,000000,68.83,67.417,68.737,4582780000
USDRUB_TOM,D,20160324,000000,69.665,68.256,68.527,5724824000
USDRUB_TOM,D,20160325,000000,68.791,67.827,68.454,1974645000
USDRUB_TOM,D,20160328,000000,68.648,67.585,68.47,2811273000
USDRUB_TOM,D,20160329,000000,69.244,67.921,68.05,4944565000
USDRUB_TOM,D,20160330,000000,68.36,67.123,68.24,4831453000
USDRUB_TOM,D,20160331,000000,68.04,66.703,67.025,5243696000
USDRUB_TOM,D,20160401,000000,68.359,66.815,67.595,5041882000
USDRUB_TOM,D,20160404,000000,68.91,67.741,68.7,4395597000
USDRUB_TOM,D,20160405,000000,69.488,68.55,68.562,5178713000
USDRUB_TOM,D,20160406,000000,68.87,67.54,67.59,3904110000
USDRUB_TOM,D,20160407,000000,68.427,67.451,68.028,4475259000
USDRUB_TOM,D,20160408,000000,67.936,66.921,67.15,3902346000
USDRUB_TOM,D,20160411,000000,67.368,66.41,66.773,3633496000
USDRUB_TOM,D,20160412,000000,66.785,65.184,65.715,4794040000
USDRUB_TOM,D,20160413,000000,66.35,65.23,66.31,5930437000
USDRUB_TOM,D,20160414,000000,66.646,65.771,66.11,4589372000
USDRUB_TOM,D,20160415,000000,66.632,65.869,66.447,4349566000
USDRUB_TOM,D,20160418,000000,68.8,66.02,66.118,6148421000
USDRUB_TOM,D,20160419,000000,66.275,62.685,65.853,4661509000
USDRUB_TOM,D,20160420,000000,66.584,65.11,65.157,4641221000
