Figure 1: StreetLight AADT 2020 for test data compared to permanent counter 2020 AADT (U.S.). No outliers were removed.
Correlation between StreetLight AADT 2020 Estimates and Permanent Counter AADT 2020 Values
x: Actual AADT 2020
y: StreetLight Estimated AADT 2020
R^2 = 0.9802
actual	estimated
19.0103	17.0878
41.2422	39.8715
27.667	27.2528
60.7197	66.5109
43.0129	50.387
7.20571	7.27327
6.02525	5.87117
47.7347	46.5314
41.0455	38.4694
33.1758	32.8611
15.2722	11.8301
12.1243	14.2837
18.0266	18.4899
15.2722	14.6341
18.0266	18.4899
7.00896	7.27327
29.0442	29.356
13.895	13.9331
10.1568	9.37643
101.839	107.171
20.3875	20.593
22.3549	20.593
4.84479	5.17018
27.8637	29.356
7.20571	7.27327
7.20571	7.6238
15.0754	14.9847
8.38615	8.67538
14.2885	15.6857
13.895	14.2837
7.79592	7.6238
41.0455	44.4283
6.61547	6.22176
8.38615	7.27327
24.5191	23.7477
17.6331	18.1394
118.365	91.7482
41.0455	44.4283
140.991	146.429
95.5432	93.8514
62.6872	61.6036
67.0155	67.9129
95.3465	96.305
44.1933	49.686
78.0331	79.4801
20.3875	21.9951
61.5067	64.4078
19.994	17.4383
100.462	101.913
5.8285	6.92275
35.1432	34.2632
15.2722	14.6341
25.6995	23.7477
10.3536	9.37643
76.4592	62.3047
97.7074	91.0472
79.2136	72.1192
16.2559	16.3868
20.781	20.593
42.6194	45.8303
116.004	106.821
53.4403	58.7995
42.4227	44.7787
6.41873	5.87117
33.9627	31.8096
11.3373	10.4279
99.8716	112.779
28.4539	27.9539
12.321	10.7785
118.169	111.377
17.4363	16.7373
30.0279	36.7168
53.2435	50.387
5.43502	5.87117
28.8474	33.5622
4.25456	4.1186
117.185	66.1604
42.6194	41.9746
11.534	9.72689
10.7471	7.97433
19.6005	20.2425
12.5178	13.2321
40.4552	38.82
20.781	29.356
14.0917	12.8816
4.64804	6.57222
15.0754	16.0362
12.5178	11.4795
14.4852	15.6857
8.38615	9.02584
16.2559	17.7888
30.4213	30.758
6.41873	7.6238
7.79592	7.97433
13.5015	10.4279
13.6982	14.2837
30.2246	30.758
21.5679	22.3456
11.534	12.8816
28.8474	26.2013
15.0754	13.2321
61.31	58.4489
82.5582	88.5935
7.20571	7.97433
16.0591	17.4383
4.25456	4.81966
1.50016	1.66498
3.66433	3.76814
7.99267	5.87117
4.45131	5.17018
2.28714	1.66498
2.48387	2.71656
1.89364	1.66498
2.09039	2.36604
5.43502	4.81966
3.27084	3.76814
3.66433	3.76814
4.25456	3.76814
0.909933	1.31446
6.22198	5.17018
2.28714	1.31446
4.84479	4.81966
2.68062	2.71656
3.0741	3.06709
3.66433	3.41755
1.89364	2.01551
1.6969	1.66498
2.48387	3.06709
1.6969	2.01551
2.87735	3.76814
5.63176	6.22176
1.6969	1.31446
5.8285	4.1186
5.63176	4.81966
7.20571	5.87117
1.30341	2.01551
0.3197	0.613472
8.77965	8.32485
2.87735	2.01551
7.00896	5.52071
15.0754	8.67538
9.17313	7.97433
6.02525	4.81966
3.46758	4.46913
8.77965	6.92275
2.48387	2.36604
1.30341	2.01551
3.66433	4.46913
2.48387	2.71656
3.66433	4.1186
1.89364	2.36604
2.09039	2.36604
0.909933	0.613472
4.64804	4.81966
0.516448	0.963931
3.0741	3.06709
6.22198	6.22176
10.1568	4.81966
1.6969	1.66498
1.6969	2.01551
4.64804	4.46913
2.87735	2.71656
2.28714	2.01551
2.28714	2.71656
3.66433	3.06709
0.909933	1.31446
11.3373	6.22176
3.0741	3.41755
3.86108	3.76814
5.63176	4.1186
2.28714	2.71656
7.20571	7.6238
3.66433	3.06709
1.50016	1.66498
1.50016	1.66498
2.68062	2.71656
5.43502	5.87117
2.68062	2.01551
1.50016	2.01551
0.713186	0.963931
3.0741	2.36604
6.81221	9.02584
1.10668	0.963931
3.86108	4.81966
2.48387	2.36604
1.89364	2.71656
1.50016	1.66498
0.713186	0.613472
2.28714	2.01551
223.623	196.904
103.806	94.2018
92.9856	85.0884
164.01	168.512
159.288	148.883
7.40244	7.6238
10.9438	8.67538
109.315	138.017
118.169	122.243
131.35	137.316
131.35	110.326
76.8527	56.6964
146.303	123.645
20.781	20.593
82.3615	73.1708
11.7308	10.0774
27.8637	27.6033
55.8012	58.4489
17.4363	17.0878
19.0103	19.892
53.637	56.3459
92.3954	87.542
39.078	39.1704
11.7308	10.7785
22.9451	25.1497
35.3399	34.2632
27.8637	25.8508
8.77965	7.97433
54.424	52.4902
12.321	13.2321
20.781	17.7888
15.0754	16.0362
180.733	156.244
59.9328	59.15
10.3536	10.4279
52.2598	45.8303
8.18941	8.32485
17.8298	16.0362
133.318	122.944
15.4689	14.6341
64.0644	60.5521
18.0266	13.5826
22.9451	17.7888
8.18941	7.6238
20.3875	22.6961
47.9315	44.7787
22.7484	24.7992
8.77965	8.67538
17.4363	20.593
15.6656	15.3352
32.3888	33.5622
9.9601	12.8816
26.2898	28.3044
64.6546	70.7172
22.3549	25.5002
11.534	11.4795
8.77965	8.67538
14.8787	16.0362
23.7321	25.8508
19.7972	19.5414
35.9301	34.6137
5.04153	5.17018
6.81221	6.22176
13.3047	12.5311
34.3562	32.5106
6.02525	6.22176
21.1744	21.9951
9.17313	10.0774
51.6696	50.7376
120.333	124.697
122.3	123.295
67.409	68.2635
88.6572	85.4389
89.2474	91.7482
97.9041	94.2018
70.9504	68.9645
8.5829	7.6238
21.7647	20.593
49.1119	50.0366
74.4917	73.5212
116.595	116.635
78.4266	82.6348
32.192	32.5106
25.306	27.6033
7.59919	9.72689
8.5829	8.67538
16.2559	17.0878
14.4852	14.2837
13.108	10.7785
43.7999	50.0366
73.3113	79.4801
124.661	138.718
19.6005	20.2425
21.7647	21.2941
27.8637	27.6033
31.2083	30.4075
7.59919	7.97433
6.02525	6.57222
5.04153	5.52071
11.3373	12.1805
52.2598	53.8922
15.6656	16.7373
6.41873	6.92275
27.2735	28.3044
33.766	33.2116
7.20571	7.97433
36.3236	34.9643
26.6832	30.4075
26.2898	26.5518
64.8513	67.2119
10.1568	9.72689
7.00896	11.4795
79.607	99.8101
19.6005	28.3044
18.0266	23.7477
16.4526	13.2321
122.89	128.202
122.89	118.037
18.8135	14.9847
136.662	153.089
161.255	128.553
73.9015	70.3666
19.0103	18.8404
19.994	22.3456
30.8148	31.8096
70.3601	74.5728
12.5178	13.5826
46.9477	44.4283
5.23827	5.17018
44.9803	40.5726
39.6683	39.521
7.79592	7.27327
10.5503	9.72689
6.41873	7.97433
7.20571	6.92275
5.63176	4.1186
4.84479	4.81966
7.59919	6.92275
104.79	114.882
6.22198	5.87117
18.0266	16.7373
35.1432	36.3663
9.17313	8.32485
13.6982	12.8816
44.5868	46.1808
13.6982	12.5311
16.8461	14.9847
31.9953	28.6549
13.3047	14.9847
15.0754	14.9847
20.9777	26.2013
28.4539	26.9024
9.36988	7.97433
19.7972	21.6445
28.0604	30.057
18.6168	23.7477
8.18941	8.32485
25.6995	23.7477
43.2096	44.7787
81.7712	89.6451
93.3791	100.161
21.1744	20.9435
15.6656	14.6341
49.8989	45.8303
172.47	173.77
23.7321	25.5002
12.5178	12.8816
4.84479	2.36604
1.50016	1.31446
2.87735	1.66498
1.50016	2.01551
7.20571	7.6238
4.05782	3.41755
3.0741	3.06709
0.909933	1.31446
3.66433	2.01551
2.68062	2.36604
2.48387	3.06709
1.30341	1.66498
2.68062	2.71656
3.0741	3.41755
3.0741	3.41755
3.27084	3.06709
1.30341	1.31446
1.10668	1.66498
1.50016	1.66498
5.8285	4.1186
0.516448	0.963931
2.68062	3.06709
2.28714	2.71656
3.66433	3.76814
1.10668	0.963931
2.48387	2.71656
0.713186	0.963931
2.09039	2.01551
2.09039	2.01551
1.10668	0.963931
0.3197	0.613472
4.05782	3.06709
1.30341	1.66498
7.40244	5.87117
7.40244	6.57222
3.27084	2.36604
4.84479	3.06709
3.46758	3.06709
1.30341	1.31446
0.713186	0.613472
6.22198	7.97433
2.68062	2.01551
8.18941	6.57222
2.68062	1.66498
2.87735	2.71656
1.89364	1.31446
2.68062	2.36604
3.0741	2.71656
1.89364	2.36604
1.6969	1.66498
4.05782	4.46913
3.46758	3.41755
2.09039	2.71656
3.86108	4.46913
1.10668	1.66498
0.909933	1.31446
1.30341	0.963931
1.50016	1.66498
3.86108	3.76814
19.0103	9.72689
5.04153	5.17018
5.04153	4.46913
4.84479	5.17018
0.909933	0.963931
5.04153	3.76814
6.81221	7.97433
3.0741	2.36604
1.89364	1.31446
2.28714	2.01551
1.10668	1.31446
2.68062	3.41755
2.09039	2.71656
1.6969	1.31446
0.516448	0.262878
221.459	203.914
183.291	183.584
19.0103	25.8508
25.6995	25.8508
103.413	80.5316
52.4566	48.985
86.8865	94.2018
27.2735	25.5002
31.7986	30.057
94.166	90.6967
15.4689	16.7373
18.0266	17.0878
100.659	105.068
95.1497	119.089
140.991	134.511
123.481	108.924
11.9275	12.8816
145.909	138.367
72.1308	66.1604
26.093	24.7992
35.7334	40.923
160.862	163.955
16.6494	16.3868
12.321	7.97433
64.4579	63.3562
47.9315	64.4078
46.1608	41.9746
13.5015	16.0362
110.496	121.542
18.8135	19.892
35.7334	38.1189
18.2233	18.4899
56.5881	60.5521
28.8474	31.8096
22.9451	23.3971
15.6656	22.3456
17.4363	17.7888
85.3126	98.0576
11.1405	12.5311
43.2096	47.583
47.538	53.5417
132.728	146.78
6.61547	7.27327
56.7849	60.9026
51.6696	46.5314
11.534	13.5826
171.486	174.471
101.446	95.2534
10.1568	10.0774
14.0917	13.5826
17.8298	17.0878
13.6982	13.9331
7.40244	5.87117
18.6168	18.4899
13.895	12.5311
33.9627	34.9643
25.5028	25.1497
5.23827	5.52071
30.2246	28.6549
9.56661	10.4279
9.9601	11.8301
11.1405	10.7785
8.18941	8.67538
19.6005	19.5414
11.534	11.8301
8.18941	8.32485
12.7145	13.2321
10.5503	11.129
18.2233	20.593
19.6005	16.0362
16.6494	17.7888
21.5679	23.3971
7.40244	7.6238
26.6832	26.2013
41.0455	47.583
